Protein IDs	173.1	173.2	173.3	173.4	173L.1	173L.2	173S.1	173S.2	173S.3	173S.4	178.1	178.2	178.3	178.4	178L.1	178L.2	178S.1	178S.2	178S.3	178S.4	275.1	275.2	275.3	275.4	275L.1	275L.2	275S.1	275S.2	275S.3	275S.4	282.1	282.2	282.3	282.4	288.1	288.2	288.3	288.4	575.1	575.2	575.3	575.4
LdBPK_030010000	74362000	103690000	66710000	52882000	74808000	78001000	53771000	78248000	50579000	70009000	69275000	85567000	82043000	83459000	82108000	62861000	74438000	122410000	98658000	107900000	76351000	78986000	71357000	77499000	69700000	94354000	64938000	79090000	55773000	47647000	56841000	76558000	42222000	44538000	51789000	65115000	62277000	52367000	61997000	67465000	73138000	76640000
LdBPK_030010200	91308000	143040000	102840000	104660000	139010000	109240000	108110000	133570000	109680000	140950000	131880000	116000000	126330000	117930000	79092000	98189000	136990000	138550000	95625000	168990000	129120000	107410000	129690000	106210000	60708000	129270000	138700000	103250000	97583000	192780000	111280000	101820000	91889000	103800000	131650000	134050000	130250000	83670000	90912000	124560000	87506000	118980000
LdBPK_030010500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11284000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_030010600	0	0	0	0	0	0	0	0	0	0	0	0	19079000	0	0	0	0	0	0	0	0	0	0	0	17380000	0	0	0	0	0	0	0	0	0	0	22466000	0	0	24927000	0	0	0
LdBPK_030010800	78843000	53039000	101440000	109970000	76001000	82320000	39553000	26639000	53582000	55804000	82601000	58583000	89587000	95553000	99772000	75325000	47097000	49627000	0	39505000	43782000	69267000	71887000	67631000	81699000	60062000	24042000	0	67220000	43162000	72619000	73844000	77633000	81295000	53111000	66329000	81626000	88320000	92411000	84661000	81506000	57631000
LdBPK_030011000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_030011800	195050000	129950000	241400000	254350000	212630000	232130000	216480000	115820000	162890000	139700000	269300000	273580000	246630000	317340000	268740000	274880000	167930000	116010000	63205000	113730000	185760000	171340000	175170000	143190000	203090000	200950000	86544000	64696000	135260000	80546000	241840000	242600000	226160000	244330000	240690000	227470000	261220000	244790000	260740000	281990000	259500000	203490000
LdBPK_030012000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_030012300	5136400	7742400	11548000	14563000	7234700	5555100	8443500	0	7005400	8674900	5882900	8800300	8278600	7379000	8916300	14883000	4905300	0	0	8268600	6512600	6071400	9170100	4733700	7705100	0	0	0	4921500	0	13033000	15215000	11636000	6495200	7114000	5158500	13068000	9275000	9550100	11590000	7938800	5094800
LdBPK_030012400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8301600	0	0	0	0	0	3946900	0	0	5700700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4539500	0	0	0
LdBPK_030012500	0	0	0	0	0	0	8156600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_030013900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1098900	0	0	0
LdBPK_030014200	0	0	8252500	8723700	27925000	14990000	0	0	0	15889000	0	18942000	12110000	13898000	14251000	21868000	0	0	0	0	20238000	0	20949000	6240700	12698000	27005000	14692000	0	0	0	14138000	24919000	15940000	0	0	20152000	0	12490000	17934000	0	14390000	13481000
LdBPK_030014400	0	0	0	0	0	13595000	0	0	0	0	0	0	0	0	0	0	10779000	0	0	17062000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_030014700	81409000	54927000	83511000	74177000	68160000	82566000	85796000	82230000	112880000	88144000	98997000	40701000	95535000	94341000	85275000	67470000	93717000	27854000	97983000	70720000	42207000	89817000	44667000	51287000	63270000	59231000	50034000	0	82859000	80480000	86475000	66212000	77891000	97134000	95375000	105310000	90418000	85453000	75182000	93051000	81424000	80187000
LdBPK_030014800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21192000	20566000	0	0	0	0	0	13398000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_030014900	503600000	756710000	514010000	592070000	420750000	480150000	364640000	267890000	420900000	352070000	471010000	637000000	502590000	549280000	574190000	504260000	289410000	547370000	451320000	307830000	440490000	564280000	402310000	490070000	514280000	512330000	313190000	1009400000	394180000	335530000	406850000	430660000	336850000	449630000	388410000	379490000	408370000	492960000	480630000	466670000	505870000	451840000
LdBPK_040005000	34049000	37189000	33410000	33183000	50803000	47813000	24899000	62721000	38541000	65448000	41332000	47672000	54013000	47915000	34727000	43113000	50669000	40457000	61965000	71421000	45434000	45026000	75178000	47701000	26612000	64828000	35878000	23281000	28864000	41270000	50971000	54683000	19356000	29115000	53996000	39006000	39930000	39830000	31363000	26552000	32451000	58006000
LdBPK_040005200	0	0	29337000	33682000	35090000	27408000	38674000	46008000	31230000	72066000	47338000	0	0	49149000	28030000	32254000	0	32829000	0	50321000	24468000	19089000	31750000	31811000	21732000	30772000	36509000	0	0	63235000	38834000	0	49223000	0	33566000	0	0	39460000	41655000	42098000	39047000	43465000
LdBPK_040005600	283720000	361230000	335230000	251620000	230220000	239240000	386660000	559400000	572900000	368110000	301030000	258660000	276300000	338720000	294320000	315490000	463600000	526500000	487420000	565310000	267810000	353230000	286650000	376540000	406690000	255310000	513850000	758830000	819750000	547940000	382850000	315760000	474600000	342330000	275200000	332960000	337150000	356680000	416840000	294740000	339480000	252580000
LdBPK_040005700	0	0	0	0	0	0	19093000	34902000	0	29016000	0	25776000	0	0	0	22130000	0	0	0	49656000	33030000	33048000	43036000	44606000	23159000	0	46666000	0	0	0	0	27262000	0	0	26200000	0	0	0	0	0	0	0
LdBPK_040006300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4908200	0	0	0	0	0	0	0	0	0	0
LdBPK_040006400	49855000	64577000	33892000	30230000	53826000	46130000	61381000	57810000	42006000	53641000	37291000	74005000	35010000	61840000	61914000	69718000	40342000	61308000	118500000	82062000	94726000	72056000	58897000	78835000	76996000	78262000	82501000	170610000	48194000	35570000	55753000	57844000	53478000	42855000	39955000	30916000	36021000	45141000	46561000	41861000	86249000	52714000
LdBPK_040007600	91667000	93136000	94487000	107590000	174100000	80166000	66389000	84527000	158730000	88348000	87693000	74435000	67461000	106330000	97435000	66286000	121970000	125950000	63998000	88563000	39468000	77922000	105520000	81475000	97514000	101740000	98549000	26070000	54016000	112290000	83711000	88352000	58314000	70593000	114160000	87367000	114280000	147990000	127950000	191180000	68668000	87535000
LdBPK_040007800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
